code	binomial	pubmed_count
ppol	Paenibacillus polymyxa	669
ppon	Psychroserpens ponticola	1
ppoo	Pectobacterium polonicum	3
ppor	Pseudodesulfovibrio portus	2
ppos	Paenibacillus polysaccharolyticus	2
ppoy	Paenibacillus polymyxa	669
ppq	Paenibacillus polymyxa	669
ppr	Photobacterium profundum	57
pprc	Pseudomonas protegens	325
pprf	Pseudodesulfovibrio profundus	2
pprg	Pseudomonas promysalinigenes	2
ppro	Pseudomonas protegens	325
pprt	Paenibacillus protaetiae	2
ppru	Paroceanicella profunda	1
pprx	Parelusimicrobium proximum	1
ppsc	Paenibacillus psychroresistens	1
ppse	Ectopseudomonas oleovorans	2
ppsl	Pseudomonas oryzihabitans	100
ppso	Parasedimentitalea psychrophila	2
ppsr	Peribacillus psychrosaccharolyticus	0
ppst	Psychrobacillus psychrotolerans	5
ppsu	Planktothrix pseudagardhii	1
ppsv	Persicobacter psychrovividus	1
ppsy	Pseudomonas versuta	7
ppt	Pseudomonas putida	8121
ppu	Pseudomonas putida	8121
ppud	Pseudomonas putida	8121
ppuh	Pseudomonas putida	8121
ppuj	Pectobacterium punjabense	10
ppul	Pandoraea pulmonicola	12
ppun	Pseudomonas putida	8121
pput	Pseudomonas putida	8121
ppuu	Pseudomonas sp. UW4	2
ppw	Pseudomonas putida	8121
ppx	Pseudomonas putida	8121
ppy	Paenibacillus polymyxa	669
pqa	Pseudarthrobacter quantipunctorum	1
pqe	Pseudomonas quebecensis	1
pqi	Pseudomonas qingdaonensis	12
pqo	Paracoccus qomolangmaensis	1
pqu	Pectobacterium quasiaquaticum	2
prae	Psychrobacter raelei	1
prag	Limnobaculum zhutongyuii	0
prb	Pandoraea pnomenusa	51
prc	Prochlorococcus sp. MIT 0604	0
prd	Pradoshia sp. D12	0
pre	Metapseudomonas resinovorans	1
prf	Candidatus Peribacter riflensis	1
prh	Pseudomonas rhizosphaerae	13
prhd	Phycobium rhodophyticola	1
prho	Porifericola rhodea	4
prhz	Pseudomonas rhizophila	5
pri	Paenibacillus riograndensis	13
prie	Priestia sp. MF3	0
prk	Pedobacter riviphilus	1
prl	Cutibacterium modestum	12
prm	Prochlorococcus sp. MIT 0801	0
prn	Polaribacter reichenbachii	3
pro	Prevotella sp. oral taxon 299	0
proa	Protaetiibacter sp. SSC-01	0
proc	Prosthecochloris sp. CIB 2401	0
prod	Prodigiosinella aquatilis	1
proe	Pedobacter roseus	10
proi	Prosthecochloris sp. SCSIO W1103	0
proj	Proteiniphilum propionicum	3
prom	Proteiniborus sp. MB09-C3	0
pron	Proteus sp. NMG38-2	0
proo	Paenibacillus roseipurpureus	0
prop	Propionimicrobium sp. PCR01-08-3	0
proq	Anaerococcoides asporogena	1
pror	Prochlorococcus sp. RSP50	0
pros	Prosthecochloris sp. GSB1	0
prot	Proteus sp. CD3	0
prou	Promicromonospora sp. Populi	0
prov	Providencia sp. TYF-12	0
prow	Prosthecochloris sp. SCSIO W1101	0
proz	Promicromonospora sp. MS192	0
prp	Pseudomonas aeruginosa	82978
prq	Providencia huaxiensis	7
prs	Prosthecochloris sp. HL-130-GSB	0
pru	Xylanibacter ruminicola	4
prub	Candidatus Phytoplasma rubi	5
prud	Paenibacillus sp. RUD330	0
prue	Pendulispora rubella	0
prur	Pigmentibacter ruber	6
prv	Propioniciclava coleopterorum	1
prw	Psychrobacter sp. PRwf-1	0
pry	Polymorphospora rubra	7
prz	Paenibacillus rhizovicinus	1
psaa	Paraburkholderia sabiae	8
psab	Paenibacillus sabinae	11
psac	Proteiniphilum saccharofermentans	8
psad	Pseudoalteromonas sp. APM04	0
psae	Paramicrobacterium salitolerans	1
psah	Candidatus Phytoplasma sacchari	5
psai	Pontimonas salivibrio	3
psam	Pseudomonas salmasensis	0
psan	Paracoccus sanguinis	4
psao	Pseudomonas sp. AN-1	0
psap	Paracoccus saliphilus	4
psaz	Pseudoalteromonas sp. A25	0
psb	Pseudomonas syringae	5980
psc	Stutzerimonas stutzeri	68
pscf	Pseudoalteromonas sp. CF6-2	0
pscj	Prevotella scopos	5
pscq	Pseudochrobactrum algeriensis	2
pscu	Pseudoalteromonas sp. CuT4-3	0
psd	Pseudoxanthomonas spadix	7
psdd	Pseudomonas sp. SD17-1	0
psdm	Pseudosulfitobacter sp. DSM 107133	0
psds	Pseudonocardia sp. DSM 110487	0
psdt	Pseudomonas sp. Stari2	0
psdu	Pseudomonas sp. DTU12.3	0
psdy	Pseudomonas sp. DY-1	0
pse	Pseudogulbenkiania sp. NH8B	0
psea	Pseudonocardia sp. AL041005-10	0
pseb	Pseudorhodobacter turbinis	1
psec	Pseudomonas sp. CCOS 191	0
psed	Stutzerimonas frequens	8
psee	Pseudonocardia sp. EC080625-04	0
psef	Pseudodesulfovibrio sediminis	2
pseg	Paraflavitalea soli	3
pseh	Pseudonocardia sp. HH130629-09	0
psei	Pseudactinotalea sp. HY158	0
psej	Pseudomonas sediminis	4
psek	Paraoerskovia sediminicola	1
psel	Pseudodesulfovibrio cashew	1
psem	Pseudomonas sp. MRSN12121	0
psen	Pseudoalteromonas sp. NC201	0
pseo	Pseudoalteromonas piratica	3
psep	Pseudomonas sessilinigenes	1
pseq	Pseudonocardia sp. EC080610-09	0
pser	Pseudanabaena sp. ABRG5-3	0
pses	Pseudomonas sp. StFLB209	0
pset	Pseudomonas sp. TCU-HL1	0
pseu	Thalassoporum mexicanum	1
psev	Pseudoclavibacter triregionum	1
psey	Pseudarthrobacter psychrotolerans	6
psez	Aquirufa nivalisilvae	3
psf	Pseudovibrio sp. FO-BEG1	0
psg	Pseudomonas aeruginosa	82978
psgc	Pseudocitrobacter corydidari	2
psh	Stutzerimonas stutzeri	68
pshe	Planococcus shenhongbingii	1
pshh	Pseudomonas shahriarae	1
pshl	Pseudomonas sp. HLS-6	0
pshn	Pseudomonas sp. HN11	0
pshq	Pseudooceanicola spongiae	0
pshs	Pseudomonas sp. HS6	1
pshx	Planococcus shixiaomingii	1
psia	Pectobacterium sinaloense	1
psic	Pengzhenrongella sicca	3
psih	Pseudomonas sichuanensis	3
psii	Pseudomonas siliginis	1
psil	Pseudomonas silesiensis	6
psin	Pseudorhodoplanes sinuspersici	4
psis	Pediococcus siamensis	2
psiv	Pseudomonas silvicola	0
psj	Stutzerimonas stutzeri	68
psjc	Pseudoxanthomonas sp. JC1303	0
psjs	Pseudoalteromonas sp. JSTW	0
psjy	Pseudomonas sp. JY-Q	3
psk	Pseudomonas gorinensis	1
pska	Pseudoalteromonas sp. KAN5	0
pskp	Pseudomonas sp. KU43P	0
psku	Pseudomonas sp. KUIN-1	0
psky	Phocoenobacter skyensis	2
psl	Pirellula staleyi	11
pslc	Pseudoalteromonas sp. LC2018020214	0
pslp	Pseudomonas sp. LPH1	0
psls	Pseudarthrobacter sp. L1SW	0
pslz	Pseudomonas sp. Lz4W	1
psm	Pseudoalteromonas sp. SM9913	0
psmb	Pseudoalteromonas sp. MT33b	0
psmd	Pseudomonas sp. MM213	0
psml	Pseudomonas sp. ML2-2023-3	0
psmm	Pseudoalteromonas sp. MM1	0
psmp	Pseudomonas sp. MPC6	0
psmt	Pseudomonas sp. MT-1	0
psmz	Pseudomonas sp. ML2-2023-6	0
psn	Pseudopedobacter saltans	12
psnb	Pseudarthrobacter sp. NIBRBAC000502770	1
psnc	Pseudomonas sp. NC02	1
psnd	Pseudomonas sp. NBB	0
psni	Pseudarthrobacter sp. NIBRBAC000502771	0
psns	Pseudomonas sp. NS1	0
psnu	Pseudopelagicola sp. nBUS_20	0
psny	Pseudomonas sp. NyZ201	0
pso	Psychrobacter sp. G	0
psoa	Pseudomonas solani	2
psob	Pseudomonas solani	2
psoi	Propioniciclava soli	1
psop	Paenibacillus sophorae	3
psor	Paraclostridium sordellii	2
psos	Pseudomonas sp. Os17	1
psow	Prescottella soli	3
psp	Pseudomonas savastanoi	204
pspc	Pseudogemmatithrix spongiicola	2
pspg	Psychrobacter sp. P2G3	0
pspi	Pseudohongiella spirulinae	2
pspn	Paenibacillus spongiae	1
pspo	Pseudoalteromonas spongiae	8
psps	Pseudoalteromonas sp. PS1M3	0
pspw	Paraburkholderia sprentiae	1
psr	Stutzerimonas stutzeri	68
psrr	Pseudoalteromonas sp. R3	0
psru	Pseudomonas sp. RU47	1
pssd	Pseudoalteromonas sp. SD03	1
psse	Pseudoxanthomonas sp. SE1	1
pssg	Pseudomonas sp. SGAir0191	0
pssj	Pseudomonas sp. J380	0
pssx	Pseudomonas sp. SXM-1	0
pssz	Pseudomonas sp. 31-12	0
pst	Pseudomonas syringae	5980
psta	Providencia stuartii	556
pstc	Planctomicrobium stercoris	1
pste	Paenibacillus stellifer	7
pstg	Phreatobacter stygius	1
psti	Peredibacter starrii	7
pstl	Paracoccus stylophorae	4
pstp	Pseudomonas stagnisoli	1
pstt	Stutzerimonas stutzeri	68
pstu	Stutzerimonas decontaminans	2
psty	Pedobacter steynii	8
psu	Pseudoxanthomonas suwonensis	7
psua	Paenalkalicoccus suaedae	2
psub	Pelolinea submarina	1
psuf	Candidatus Planktophila sulfonica	0
psul	Pseudarthrobacter sulfonivorans	5
psup	Candidatus Pinguicoccus supinus	1
psuu	Phytohabitans suffuscus	8
psuw	Pseudoxanthomonas suwonensis	7
psuz	Pseudoalteromonas sp. 13-15	0
psv	Pseudomonas sp. VLB120	0
psw	Pseudomonas cremoricolorata	4
pswo	Pseudomonas macauensis	1
pswu	Paenibacillus swuensis	2
psx	Providencia stuartii	556
psxf	Pseudochrobactrum sp. XF203	0
psy	Psychromonas sp. CNPT3	0
psya	Psychrobacter sp. AntiMn-1	0
psyb	Psychrobacillus sp. INOP01	0
psyc	Psychrobacter sp. DAB_AL43B	0
psyd	Psychroflexus sp. ALD_RP9	0
psye	Psychrobacter sp. SC65A.3	0
psyf	Desulfovibrio mangrovi	1
psyg	Psychrobacter sp. P11G5	0
psyh	Psychrobacillus sp. AK 1817	0
psyi	Pseudomonas syringae	5980
psyk	Psychrobacter sp. KFRI-CH2-11	0
psyl	Psychrobacillus sp. L3	0
psym	Psychrosphaera ytuae	2
psyn	Psychroserpens sp. NJDZ02	0
psyo	Psychrobacillus glaciei	4
psyp	Psychrobacter sp. PAMC27889	0
psyq	Pseudomonas sp. Y39-6	1
psyr	Pseudomonas syringae	5980
psys	Psychromonas sp. GE-S-Ul-11	0
psyu	Psychrobacillus sp. L4	0
psyy	Psychrobacter sp. YP14	0
psz	Stutzerimonas stutzeri	68
ptac	Paenibacillus taichungensis	13
ptan	Parvicella tangerina	1
ptaw	Pseudolabrys taiwanensis	4
ptb	Parageobacillus toebii	11
ptc	Candidatus Phycorickettsia trachydisci	0
pter	Paraburkholderia terrae	12
ptes	Paralysiella testudinis	1
ptf	Candidatus Profftia tarda	2
ptha	Providencia stuartii	556
pthe	Pseudodesulfovibrio thermohalotolerans	1
pthr	Piezobacter thermophilus	1
ptj	Paenibacillus tianjinensis	3
ptk	Pseudomonas tructae	2
ptl	Parageobacillus thermoglucosidasius	60
ptn	Pseudoalteromonas translucida	4
ptp	Planktomarina temperata	7
ptra	Piscibacter tructae	1
ptre	Pseudomonas tremae	5
ptrh	Candidatus Paraimprobicoccus trichonymphae	0
ptri	Paenibacillus tritici	1
ptrl	Pseudomonas triclosanedens	2
ptrp	Polynucleobacter tropicus	0
ptrt	Pseudomonas tritici	2
pts	Paraburkholderia terricola	2
ptt	Photorhabdus thracensis	3
ptun	Paenibacillus tundrae	12
ptus	Pseudomonas tussilaginis	1
ptw	Pseudomonas tohonis	4
ptx	Pandoraea thiooxydans	4
pty	Ectopseudomonas toyotomiensis	0
ptz	Pseudomonas tensinigenes	0
pud	Neopusillimonas aestuarii	1
puf	Pelosinus sp. UFO1	0
pui	Paenibacillus urinalis	5
puk	Pullulanibacillus sp. KACC 23026	0
pul	Pasteurella multocida	4799
pun	Polaribacter sejongensis	6
puo	Rubellicoccus peritrichatus	1
pur	Psychrobacter urativorans	10
pus	Pollutimonas thiosulfatoxidans	1
put	Pusillimonas sp. T7-7	0
pva	Pantoea vagans	40
pvac	Polaromonas vacuolata	9
pvar	Planctellipticum variicoloris	0
pvb	Pseudoalteromonas viridis	1
pve	Pandoraea vervacti	4
pves	Parabacteroides vesiculifaciens	1
pvh	Candidatus Phytoplasma vitis	12
pvii	Pseudomonas viridinivis	1
pvj	Pseudescherichia vulneris	4
pvk	Pseudomonas viciae	5
pvl	Proteus mirabilis	6825
pvn	Candidatus Planktophila vernalis	0
pvo	Paenibacillus vortex	8
pvq	Pseudomonas vesperimontis	1
pvs	Candidatus Planktophila versatilis	0
pvw	Pseudomonas vanderleydeniana	0
pwa	Pectobacterium parmentieri	27
pwd	Pseudomonas wadenswilerensis	4
pwi	Pseudoxanthomonas winnipegensis	2
pwn	Paenibacillus woosongensis	5
pwo	Candidatus Wolfebacteria bacterium	0
pwu	Polynucleobacter wuianus	1
pwy	Pseudomonas wayambapalatensis	4
pwz	Pseudomonas wenzhouensis	1
pxa	Pseudomonas xanthosomatis	1
pxh	Providencia xihuensis	1
pxi	Pseudoalteromonas xiamenensis	6
pxn	Pseudomonas xantholysinigenes	1
pxsi	Pseudoalteromonas sp. Xi13	3
pyg	Paenibacillus yonginensis	9
pyh	[Phormidium] yuhuli	3
pym	Pseudomonas yamanorum	12
pyt	Polynucleobacter yangtzensis	1
pyy	Pyramidobacter sp. YE332	0
pza	Pseudomonas ogarae	9
pzd	Stutzerimonas zhaodongensis	0
pze	Pseudomonas zeae	1
pzh	Paracoccus zhejiangensis	6
pzj	Providencia zhijiangensis	1
pzn	Providencia zhejiangensis	1
pzu	Phenylobacterium zucineum	11
qar	Qipengyuania aurantiaca	0
qau	Quatrionicoccus australiensis	1
qci	Qipengyuania citrea	4
qdo	Qiania dongpingensis	0
qge	Qipengyuania gelatinilytica	0
qid	Qipengyuania algicola	1
qip	Qipengyuania rhodophyticola	1
qpr	Qipengyuania profunda	1
qps	Qipengyuania psychrotolerans	0
qso	Qipengyuania soli	1
qsp	Qipengyuania spongiae	1
qxi	Qipengyuania xiapuensis	0
rabs	Rodentibacter abscessus	1
rac	Rhodoferax antarcticus	7
race	Rahnella aceris	9
rad	Rhizobium acidisoli	6
rag	Riemerella anatipestifer	369
ragg	Roseibium aggregatum	6
rah	Rahnella aceris	9
rai	Riemerella anatipestifer	369
rain	Raineyella fluvialis	1
ral	Hominimerdicola alba	1
ralg	Roseobacter phycocola	0
ram	Rickettsia amblyommatis	125
rama	Rothia amarae	6
ran	Riemerella anatipestifer	369
rand	Robbsia andropogonis	11
rant	Rhodococcus antarcticus	1
rao	Klebsiella sp. X13	0
rap	Rhodovastum atsumiense	4
raq	Rahnella aquatilis	204
rar	Riemerella anatipestifer	369
ras	Rickettsia asiatica	7
rat	Riemerella anatipestifer	369
rath	Rathayibacter sp. VKM Ac-2759	0
rav	Rhodococcus aetherivorans	40
rax	Radiobacillus kanasensis	1
raz	Rossellomorea aquimaris	8
rban	Rhizobium bangladeshense	4
rbar	Rhodothermaceae bacterium	3
rbc	Mucinivorans hirudinis	4
rbd	Aerosticca soli	1
rbg	Roseinatronobacter bogoriensis	0
rbh	Rhodocyclaceae bacterium	4
rbi	Robiginitalea biformata	7
rbin	Rhizobium binxianense	1
rbk	Rhodopseudomonas boonkerdii	1
rbl	Pseudogemmobacter blasticus	0
rbm	Rhizobiales bacterium	7
rbo	Rickettsia bellii	167
rbon	Rahnella bonaserana	1
rbq	Rhizobium binae	3
rbs	Rhodobiaceae bacterium	1
rbt	Rickettsiales bacterium	12
rbu	Rugosibacter aromaticivorans	4
rbw	Rhizobium brockwellii	1
rbx	Rhodobacterales bacterium	7
rbz	Aestuarium zhoushanense	2
rcb	Rouxiella chamberiensis	4
rcc	Rickettsia canadensis	12
rcd	Roseomonas cutis	1
rcf	Rosistilla carotiformis	1
rcg	Reichenbachiella carrageenanivorans	0
rch	Ruminococcus champanellensis	10
rcl	Riemerella columbina	7
rcm	Rickettsia canadensis	12
rcon	Ruegeria conchae	5
rcs	Raphidiopsis curvata	3
rct	Rhizobium croatiense	3
rcv	Teichococcus cervicalis	1
rdi	Rhizorhabdus dicambivorans	8
red	Roseicyclus elongatus	1
ree	Klebsiella electrica	2
reh	Cupriavidus necator	802
rei	Rhizobium etli	495
rek	Reichenbachiella agarivorans	0
rel	Rhizobium etli	495
ren	Rickettsiales endosymbiont	3
reo	Candidatus Ruthia endofausta	0
rep	Rhizobium etli	495
rer	Rhodococcus erythropolis	898
ret	Rhizobium etli	495
rev	Candidatus Reidiella endopervernicosa	0
rex	Rickettsia endosymbiont	34
rey	Rhodococcus erythropolis	898
rez	Rhizobium esperanzae	2
rfa	Rhodococcoides fascians	1
rfl	Roseomonas fluvialis	1
rfo	Reinekea forsetii	1
rfs	Rathayibacter festucae	3
rfu	Roseobacter fucihabitans	2
rfv	Pseudorhizobium flavum	1
rgl	Rhodanobacter glycinis	3
rgor	Rhodococcus gordoniae	7
rgr	Rhizobium grahamii	12
rgu	Rhizobacter gummiphilus	9
rhae	Rodentibacter haemolyticus	3
rhal	Ruania halotolerans	2
rhaw	Candidatus Rhabdochlamydia oedothoracis	0
rhb	Rhodococcus sp. B7740	1
rhbh	Rhodococcus sp. BH4	4
rhc	Rhodovulum sp. P5	0
rhd	Rhodanobacter denitrificans	8
rhde	Rhodococcus sp. DK176	0
rhdk	Rhodococcus aromaticivorans	5
rhdm	Rhodococcus sp. DMU1	0
rhe	Rickettsia conorii	807
rhei	Rheinheimera sp. F8	0
rher	Ruminiclostridium herbifermentans	3
rhey	Rodentibacter caecimuris	1
rhf	Rhodoferax sediminis	1
rhg	Rhodoferax aquaticus	3
rhh	Rheinheimera sp. D18	0
rhia	Rhizobium sp. ACO-34A	0
rhib	Rhizobium sp. AB2/73	0
rhic	Rhizobium sp. C104	0
rhid	Rhizobium hidalgonense	4
rhik	Rhizobium sp. K102	0
rhio	Rhizobium sp. 32-5/1	0
rhip	Rhizobium sp. Pop5	0
rhis	Rhizobium sp. SRDI969	0
rhiu	Rhizobium sp. SL42	0
rhiw	Rhizobium sp. WYJ-E13	0
rhiy	Rhizobium sp. Y9	0
rhiz	Rhizobium sp. BT03	0
rhj	Rhodoblastus sp. SSC7	0
rhjs	Rhodococcus sp. JS3073	0
rhk	Rhizobium sp. Kim5	0
rhl	Rhizobium favelukesii	10
rhm	Rhodovulum sp. MB263	0
rhmm	Rhodococcus sp. M8	0
rhmz	Rhodococcus sp. M8-35	0
rhn	Rhizobium sp. N1341	0
rhny	Rhodococcus sp. NyZ502	0
rhoa	Rhodoferax sp. AJA081-3	0
rhob	Rhodoferax sp. BAB1	0
rhoc	Fontisubflavum oceani	1
rhod	Rhodococcus sp. 008	0
rhoe	Rhodopseudomonas sp. P1	0
rhof	Rhodoferax sp. WC2427	0
rhog	Rhodoferax sp. GW822-FHT02A01	0
rhoh	Rhodococcus sp. H-CA8f	0
rhoi	Rhodopirellula sp. P2	0
rhoj	Rhodococcus sp. JVH1	0
rhok	Rhodoluna sp. KAS3	0
rhol	Rhodopseudomonas sp. BAL398	0
rhom	Romboutsia hominis	4
rhon	Rhodococcus sp. NJ-530	3
rhoo	Rhodococcus sp. DN22	0
rhop	Rhodococcus sp. P1Y	0
rhoq	Rhodococcus sp. M8-33	0
rhor	Rhodopseudomonas sp. P2A-2r	0
rhos	Rhodococcus sp. M8-50	0
rhou	Rhodococcus sp. 11-3	0
rhov	Rhodovulum sp. HP10	0
rhow	Rhodococcus sp. WB1	0
rhox	Rhodococcus sp. D-6	3
rhoy	Rhodococcus sp. AH-ZY2	0
rhoz	Rhodocytophaga rosea	2
rhp	Rhodobacter xanthinilyticus	1
rhpc	Rhodococcus sp. PAMC28707	0
rhpd	Rhodococcus sp. PD04	0
rhpm	Rhodococcus sp. PAMC28705	1
rhq	Rhodococcus sp. p52	0
rhr	Rhizobium sp. 11515TR	0
rhrc	Rhodococcus sp. RCBS9	2
rhrd	Rhodococcus sp. RDE2	0
rhs	Rhodococcoides fascians	1
rhsq	Rhodococcus sp. SGAir0479	0
rht	Pseudorhizobium banfieldiae	1
rhu	Rhodococcus sp. PBTS 1	0
rhv	Rhizobium sp. S41	0
rhw	Rhodococcus sp. WMMA185	0
rhwb	Rhodococcus sp. WB9	0
rhwq	Rhodococcus sp. W8901	0
rhwy	Rhodococcus sp. WAY2	0
rhx	Rhizobium sp. N731	0
rhy	Rhodoferax koreensis	1
rhz	Rugositalea oryzae	1
rhzg	Rhodococcus sp. 2G	0
rhzp	Rhodococcus sp. ZPP	0
rhzq	Rhodococcus sp. 21391	0
ria	Rathayibacter iranicus	3
ric	Rickettsia sp. MEAM1	0
rid	Roseovarius indicus	6
rif	Rhizobium indigoferae	5
rig	Candidatus Riesia sp.	0
rii	Rhizobium indicum	8
rio	Rhodococcus indonesiensis	4
rip	Candidatus Riesia pediculicola	9
ris	Robiginitalea insularis	1
riu	Rahnella inusitata	9
riv	Rivularia sp. PCC 7116	0
rix	Roseburia intestinalis	202
riz	Rickettsia finnyi	1
rjg	Martinezella jaguaris	0
rko	Rhodococcus koreensis	12
rkr	Rothia kristinae	8
rkt	Candidatus Rickettsia kotlanii	6
rla	Rhodoluna lacicola	6
rlac	Rhodomicrobium lacus	2
rlc	Rubripirellula lacrimiformis	1
rld	Rickettsia lanei	5
rle	Rhizobium johnstonii	4
rlg	Rhizobium leguminosarum	1535
rlh	Rhodoferax lithotrophicus	1
rln	Rhizobium lentis	1
rlo	Rhodocaloribacter litoris	1
rls	Martinezella lusitana	0
rlt	Rhizobium leguminosarum	1535
rlu	Rhizobium leguminosarum	1535
rma	Candidatus Ruthia magnifica	6
rmai	Roseicyclus marinus	2
rmar	Rubrobacter marinus	1
rmb	Tritonibacter mobilis	3
rmf	Rossellomorea marisflavi	11
rmh	Roseivivax marinus	3
rmj	Rohdeia mirabilis	0
rmk	Rhodoferax mekongensis	1
rml	Roseimaritima multifibrata	1
rmm	Roseovarius mucosus	9
rmr	Rhodothermus marinus	188
rms	Rickettsia massiliae	171
rmt	Roseomonas marmotae	1
rnc	Ralstonia nicotianae	2
roc	Romboutsia sp. CE17	0
rod	Rossellomorea sp. DA94	0
roe	Rathayibacter oskolensis	2
rof	Rickettsia oklahomensis	1
rog	Roseateles sp. L2-2	0
roh	Roseovarius sp. THAF27	0
roi	Roseateles amylovorans	1
roj	Roseateles sp. MS654	0
rok	Roseovarius sp. AK1035	0
rol	Rosistilla oblonga	1
rom	Roseovarius faecimaris	2
roo	Roseimicrobium sp. ORNL1	0
rop	Rhodococcus opacus	304
roq	Roseburia sp. 499	1
ror	Klebsiella ornithinolytica	30
ros	Roseomonas sp. FDAARGOS_362	0
rose	Roseburia sp. 831b	2
ross	Rossellomorea sp. y25	0
rot	Roseivivax sp. THAF197b	0
rou	Rouxiella sp. WC2420	0
rox	Rahnella sikkimica	1
roy	Rhizobium oryzihabitans	2
roz	Rhodococcus oxybenzonivorans	3
rpay	Ruminiclostridium papyrosolvens	8
rpb	Rhodopseudomonas palustris	1037
rpc	Rhodopseudomonas palustris	1037
rpd	Rhodopseudomonas palustris	1037
rpe	Rhodopseudomonas palustris	1037
rped	Candidatus Riesia pediculischaeffi	1
rpel	Roseovarius pelagicus	1
rph	Rickettsia philipii	5
rphc	Roseovarius phycicola	1
rpho	Robertmurraya phoenicis	0
rphy	Rapeseed phyllody	1
rpi	Ralstonia pickettii	357
rpj	Ralstonia pickettii	357
rpl	Rickettsia prowazekii	672
rpla	Candidatus Rhodoluna planktonica	2
rpm	Pararhodospirillum photometricum	1
rpn	Rickettsia prowazekii	672
rpo	Rickettsia prowazekii	672
rpod	Roseitalea porphyridii	2
rpoh	Rhodophyticola porphyridii	4
rpon	Roseobacter ponti	4
rpop	Roseibium porphyridii	1
rpor	Candidatus Rhabdochlamydia porcellionis	3
rpq	Rickettsia prowazekii	672
rpr	Rickettsia prowazekii	672
rps	Rickettsia prowazekii	672
rpsk	Rhodococcus pseudokoreensis	4
rpt	Rhodopseudomonas palustris	1037
rpus	Agrobacterium pusense	19
rpv	Rickettsia prowazekii	672
rpw	Rickettsia prowazekii	672
rpx	Rhodopseudomonas palustris	1037
rpy	Rhodococcus pyridinivorans	65
rpz	Rickettsia prowazekii	672
rrb	Rickettsia rickettsii	974
rrc	Rickettsia rickettsii	974
rrg	Rhizobium ruizarguesonis	7
rrh	Rickettsia rickettsii	974
rrho	Arminella rhododendri	0
rri	Rickettsia rickettsii	974
rrj	Rickettsia rickettsii	974
rrk	Roseburia rectibacter	1
rrl	Roseovarius rhodophyticola	1
rrm	Rickettsia rickettsii	974
rrn	Rickettsia rickettsii	974
rrp	Rickettsia rickettsii	974
rrr	Rickettsia rickettsii	974
rrs	Roseiflexus sp. RS-1	0
rru	Rhodospirillum rubrum	1696
rrv	Robiginitalea rubriflava	1
rry	Rathayibacter rathayi	4
rsb	Rhodoferax saidenbachensis	4
rsd	Candidatus Endomicrobiellum trichonymphae	0
rse	Ralstonia pseudosolanacearum	141
rsf	Rhodococcus sacchari	1
rsin	Richelia sinica	0
rsj	Rossellomorea sedimentorum	1
rsk	Cereibacter sphaeroides	35
rsl	Ralstonia solanacearum	2195
rsm	Ralstonia solanacearum	2195
rsn	Ralstonia solanacearum	2195
rso	Ralstonia pseudosolanacearum	141
rsop	Rhizobium sophoriradicis	8
rsp	Cereibacter sphaeroides	35
rsq	Cereibacter sphaeroides	35
rsr	Roseivirga spongicola	3
rst	Rummeliibacillus stabekisii	7
rsua	Ruania suaedae	2
rsw	Rickettsia slovaca	194
rsy	Ralstonia solanacearum	2195
rte	Rathayibacter tanaceti	5
rter	Rothia terrae	7
rtf	Ruoffia tabacinasalis	2
rth	Rhodanobacter thiooxydans	10
rti	Rufibacter tibetensis	11
rtl	Rickettsia tillamookensis	13
rtm	Rhodococcus triatomae	8
rtn	Rathayibacter tritici	6
rts	Raoultibacter timonensis	6
rtt	Rickettsia typhi	634
rtu	Arminella tumorigenes	0
rtx	Rathayibacter toxicus	26
rty	Rickettsia typhi	634
rua	Ruegeria sp. AD91A	0
rub	Rubrobacter tropicus	1
ruc	Ruminococcus sp. FMB-CY1	0
rud	Rufibacter sp. DG15C	0
rue	Salicibibacter kimchii	2
ruf	Rufibacter radiotolerans	1
rufi	Ruficoccus sp. ZRK36	0
rug	Rugamonas sp. DEMB1	0
ruj	Ruminococcus bovis	8
ruk	Hungateiclostridiaceae bacterium	0
rul	Roseimaritima ulvae	5
rum	Ruminococcus sp. SR1/5	0
run	Runella rosea	2
rup	Runella sp. SP2	0
rut	Ruegeria sp. THAF33	0
ruv	Rosistilla ulvae	1
ruy	Ruegeria sp. YS9	0
rvc	Rahnella victoriana	13
rvi	Candidatus Rickettsiella viridis	3
rwe	Ralstonia wenshanensis	2
saa	Staphylococcus aureus	151150
saal	Saccharimonas aalborgensis	3
saap	Sphingomonas sp. AAP5	0
sab	Staphylococcus aureus	151150
sabd	Streptomyces albidicamelliae	0
sabi	Sphingomonas abietis	1
sabu	Flaviramulus sp. BrNp1-15	0
sac	Staphylococcus aureus	151150
saca	Saccharibacillus brassicae	2
sacc	Saccharomonospora xinjiangensis	7
sace	Allosaccharopolyspora coralli	1
sacg	Saccharopolyspora sp. ASAGF58	0
sach	Shewanella acanthi	1
saci	Singulisphaera acidiphila	10
sacl	Schinkia acidoalkalinis	1
sacq	Schaalia sp. 19OD2882	0
sacv	Sporomusa acidovorans	3
sacx	Saccharothrix sp. 6-C	0
sad	Staphylococcus aureus	151150
sade	Candidatus Steffania adelgidicola	1
sae	Staphylococcus aureus	151150
saeg	Shewanella aegiceratis	1
saei	Sporomusa aerivorans	2
saer	Sphingomonas aerolata	6
saes	Shewanella aestuarii	3
saga	Simiduia agarivorans	12
sagc	Streptococcus agalactiae	5325
