code	binomial	pubmed_count
mvc	Methanosarcina vacuolata	7
mvj	Candidatus Methanosuratincola verstraetei	1
mvu	Methanocaldococcus vulcanius	2
mzh	Methanosalsum zhilinae	1
mzi	Methanolobus zinderi	4
naa	Candidatus Nanopusillus acidilobi	1
nac	Nanohaloarchaea archaeon	0
naer	Nanobdella aerobiophila	4
nag	Natrarchaeobaculum sulfurireducens	1
naj	Natrarchaeobaculum aegyptiacum	0
nan	Natrarchaeobaculum sulfurireducens	1
nara	Natrialbaceae archaeon	2
nas	Natronorubrum aibiense	3
nat	Natrinema gari	9
nay	Natrinema zhouii	1
nbg	Natronorubrum bangense	6
nbv	Candidatus Nitrosopelagicus brevis	4
nck	Candidatus Nitrosotenuis chungbukensis	1
ncl	Nitrosopumilus cobalaminigenes	1
ncon	Candidatus Nanohalobium constans	2
nct	Candidatus Nitrosomarinus catalinensis	0
ncv	Candidatus Nitrosocaldus cavascurensis	1
ndv	Nitrosotalea devaniterrae	2
nev	Candidatus Nitrososphaera evergladensis	2
nfn	Candidatus Nitrosocosmicus franklandianus	1
nhf	Candidatus Nanohalovita haloferacivicina	0
nho	Natronomonas halophila	1
nic	Nitrosarchaeum sp. AC2	0
nid	Nitrosopumilus piranensis	4
nin	Nitrosopumilus adriaticus	6
nip	Nitrosopumilus sp. K4	0
nir	Candidatus Nitrosopumilus sediminis	1
niu	Candidatus Nitrosotenuis sp.	0
niw	Candidatus Nitrosopumilus sp.	1
nkr	Candidatus Nitrosopumilus koreensis	6
nmo	Natronomonas moolapensis	4
nocc	Candidatus Nanohalococcus occultus	1
nox	Nitrosopumilus oxyclinae	1
npe	Natrinema pellirubrum	5
npl	Natrinema pallidum	10
nsal	Natronomonas salina	1
nue	Nitrosopumilus ureiphilus	2
nvr	Natrinema versiforme	5
nzt	Nitrosopumilus zosterae	2
omr	Oxyplasma meridianum	2
oyw	Candidatus Odinarchaeum yellowstonii	1
pare	Pyrofollis japonicus	1
pas	Pyrobaculum arsenaticum	12
pdl	Pyrodictium delaneyi	5
pfm	Pyrolobus fumarii	11
pfu	Pyrococcus furiosus	1485
pog	Pyrobaculum oguniense	8
ppac	Palaeococcus pacificus	8
psyt	Promethearchaeum syntrophicum	5
pto	Picrophilus oshimae	8
pyc	Pyrococcus kukulkanii	2
pyn	Pyrococcus sp. NA2	0
pyr	Pyrobaculum ferrireducens	1
pys	Pyrococcus sp. ST04	1
pyw	Pyrobaculum sp. WP30	0
rci	Methanocella arvoryzae	2
sacd	Sulfodiicoccus acidiphilus	2
sacr	Sulfolobus acidocaldarius	712
sacs	Sulfolobus acidocaldarius	712
sahs	Sulfolobales archaeon	4
sai	Sulfolobus acidocaldarius	712
saim	Salinarchaeum sp. IM2453	0
sali	Salinarchaeum sp. Harcht-Bsk1	0
salr	Salarchaeum sp. JOR-1	0
sawl	Natronosalvus rutilus	1
sazo	Stygiolobus azoricus	7
scas	Saccharolobus caldissimus	2
shc	Staphylothermus hellenicus	6
sic	Saccharolobus islandicus	34
sid	Saccharolobus islandicus	34
sih	Saccharolobus islandicus	34
sii	Saccharolobus islandicus	34
sim	Saccharolobus islandicus	34
sin	Saccharolobus islandicus	34
sir	Saccharolobus islandicus	34
sis	Saccharolobus islandicus	34
siy	Saccharolobus islandicus	34
sjv	Sulfurisphaera javensis	2
smet	Sulfuracidifex metallicus	2
soh	Sulfurisphaera ohwakuensis	11
srub	Salinigranum rubrum	3
ssai	Salinirubellus salinus	1
sshi	Saccharolobus shibatae	4
sso	Saccharolobus solfataricus	63
ssoa	Saccharolobus solfataricus	63
ssof	Saccharolobus solfataricus	63
ssol	Saccharolobus solfataricus	63
step	Sulfuracidifex tepidarius	2
sto	Sulfurisphaera tokodaii	9
sula	Saccharolobus sp. A20	0
sule	Saccharolobus sp. E5-1-F	0
sull	Sulfolobus sp. S-194	0
sulo	Sulfolobus sp. E11-6	0
taa	Candidatus Nitrosocosmicus oleophilus	0
tag	Thermosphaera aggregans	6
tagg	Thermococcus aggregans	8
tah	Candidatus Nitrosotenuis cloacae	1
tbs	Thermococcus barossii	4
tcb	Thermofilum adornatum	2
tch	Thermococcus chitonophagus	9
tcq	Thermococcus camini	1
tcs	Thermosphaera chiliense	0
teu	Thermococcus eurythermalis	7
tgy	Thermococcus guaymasensis	6
tha	Thermococcus sp. AM4	0
thb	Thermofilum adornatum	2
the	Thermococcus sp. 4557	0
thei	Thermococcus argininiproducens	1
